corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
01437186,ESR켄달스퀘어리츠,365550,Y,주주총회소집공고,20250812000663,ESR켄달스퀘어리츠,2025-08-12,
00210856,코아스,071950,Y,임원ㆍ주요주주특정증권등거래계획보고서,20250812000662,민경중,2025-08-12,
00684714,풍산,103140,Y,최대주주등소유주식변동신고서              ,20250812800481,풍산,2025-08-12,유
01702017,유니드비티플러스,446070,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20250812000661,유니드비티플러스,2025-08-12,공
00210856,코아스,071950,Y,임원ㆍ주요주주특정증권등거래계획보고서,20250812000660,노병구,2025-08-12,
00299002,HL홀딩스,060980,Y,주식소각결정              ,20250812800412,HL홀딩스,2025-08-12,유
00153861,태영건설,009410,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20250812000647,태영건설,2025-08-12,공
00651901,에어부산,298690,Y,반기보고서 (2025.06),20250812000646,에어부산,2025-08-12,
00107613,이수페타시스,007660,Y,기업설명회(IR)개최(안내공시)              ,20250812800443,이수페타시스,2025-08-12,유
00164724,현대엘리베이터,017800,Y,현금ㆍ현물배당을위한주주명부폐쇄(기준일)결정              ,20250812800453,현대엘리베이터,2025-08-12,유
01032413,해성디에스,195870,Y,[기재정정]신규시설투자등              ,20250812800437,해성디에스,2025-08-12,유
01026157,쏘카,403550,Y,주주총회소집결의              ,20250812800413,쏘카,2025-08-12,유
00139834,LG씨엔에스,064400,Y,기업설명회(IR)개최(안내공시)              ,20250812800426,LG씨엔에스,2025-08-12,유
00861076,케이탑리츠,145270,Y,부동산투자회사자금차입              ,20250812800417,케이탑리츠,2025-08-12,유
00861076,케이탑리츠,145270,Y,부동산투자회사자금차입              ,20250812800409,케이탑리츠,2025-08-12,유
01519790,엠앤씨솔루션,484870,Y,기업설명회(IR)개최(안내공시)              ,20250812800361,엠앤씨솔루션,2025-08-12,유
00350312,HDC랩스,039570,Y,반기보고서 (2025.06),20250812000642,HDC랩스,2025-08-12,
00110893,대신증권,003540,Y,증권발행실적보고서,20250812000637,대신증권,2025-08-12,
00258801,카카오,035720,Y,임원ㆍ주요주주특정증권등소유상황보고서,20250812000633,정신아,2025-08-12,
01205851,HD현대일렉트릭,267260,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20250812000632,HD현대일렉트릭,2025-08-12,공
00110893,대신증권,003540,Y,증권발행실적보고서,20250812000631,대신증권,2025-08-12,
00138057,써니전자,004770,Y,주요사항보고서(자기주식취득신탁계약해지결정),20250812000614,써니전자,2025-08-12,
00110893,대신증권,003540,Y,증권발행실적보고서,20250812000629,대신증권,2025-08-12,
00980122,JB금융지주,175330,Y,투자설명서(일괄신고),20250812000627,JB금융지주,2025-08-12,
00110893,대신증권,003540,Y,증권발행실적보고서,20250812000625,대신증권,2025-08-12,
00980122,JB금융지주,175330,Y,일괄신고추가서류,20250812000620,JB금융지주,2025-08-12,
01350869,우리금융지주,316140,Y,증권발행실적보고서,20250812000610,우리금융지주,2025-08-12,
00126955,삼양식품,003230,Y,주식등의대량보유상황보고서(일반),20250812000604,삼양라운드스퀘어,2025-08-12,
00299002,HL홀딩스,060980,Y,신탁계약해지결과보고서,20250812000599,HL홀딩스,2025-08-12,
00861076,케이탑리츠,145270,Y,반기보고서 (2025.06),20250812000597,케이탑리츠,2025-08-12,
01204056,하이브,352820,Y,동일인등출자계열회사와의상품ㆍ용역거래변경,20250812000594,하이브,2025-08-12,공
00145437,아센디오,012170,Y,주주총회소집결의              ,20250812800371,아센디오,2025-08-12,유
01204056,하이브,352820,Y,동일인등출자계열회사와의상품ㆍ용역거래변경,20250812000591,하이브,2025-08-12,공
00309503,한국항공우주,047810,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20250812000588,한국항공우주,2025-08-12,공
01026157,쏘카,403550,Y,연결재무제표기준영업(잠정)실적(공정공시)              ,20250812800347,쏘카,2025-08-12,유
01204056,하이브,352820,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20250812000586,하이브,2025-08-12,공
00339391,한화시스템,272210,Y,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,20250812000584,한화시스템,2025-08-12,공
00587466,KPX홀딩스,092230,Y,최대주주등소유주식변동신고서              ,20250812800380,KPX홀딩스,2025-08-12,유
00138057,써니전자,004770,Y,신탁계약해지결과보고서,20250812000581,써니전자,2025-08-12,
00159698,지역난방공사,071320,Y,반기보고서 (2025.06),20250812000578,지역난방공사,2025-08-12,
00350312,HDC랩스,039570,Y,[기재정정]사업보고서 (2024.12),20250812000577,HDC랩스,2025-08-12,연
00126955,삼양식품,003230,Y,현금ㆍ현물배당결정              ,20250812800367,삼양식품,2025-08-12,유
01319899,SK바이오사이언스,302440,Y,반기보고서 (2025.06),20250812000574,SK바이오사이언스,2025-08-12,
